season,position,family,n,mean_feature_coverage,row_70pct_coverage_rate,prior_team_available_rate,split
2018,QB,OPPORTUNITY_ROLE,29,0.9655172413793104,0.9655172413793104,0.9655172413793104,development
2018,RB,OPPORTUNITY_ROLE,58,0.962474645030426,0.9655172413793104,0.9655172413793104,development
2018,WR,OPPORTUNITY_ROLE,84,0.9523809523809523,0.9523809523809523,0.9523809523809523,development
2018,TE,OPPORTUNITY_ROLE,51,0.9215686274509803,0.9215686274509803,0.9215686274509803,development
2019,QB,OPPORTUNITY_ROLE,31,1.0,1.0,1.0,development
2019,RB,OPPORTUNITY_ROLE,55,0.9251336898395722,0.9272727272727272,0.9272727272727272,development
2019,WR,OPPORTUNITY_ROLE,85,0.9636363636363636,0.9647058823529412,0.9647058823529412,development
2019,TE,OPPORTUNITY_ROLE,49,0.9591836734693877,0.9591836734693877,0.9591836734693877,development
2020,QB,OPPORTUNITY_ROLE,37,0.972972972972973,0.972972972972973,0.972972972972973,development
2020,RB,OPPORTUNITY_ROLE,62,0.945920303605313,0.9516129032258065,0.9516129032258065,development
2020,WR,OPPORTUNITY_ROLE,94,0.9787234042553191,0.9787234042553191,0.9787234042553191,development
2020,TE,OPPORTUNITY_ROLE,48,1.0,1.0,1.0,development
2021,QB,OPPORTUNITY_ROLE,37,1.0,1.0,1.0,development
2021,RB,OPPORTUNITY_ROLE,65,0.9809954751131222,0.9846153846153847,0.9846153846153847,development
2021,WR,OPPORTUNITY_ROLE,91,0.932067932067932,0.9340659340659341,0.9340659340659341,development
2021,TE,OPPORTUNITY_ROLE,51,0.9607843137254902,0.9607843137254902,0.9607843137254902,development
2018,QB,EFFICIENCY_REGRESSION,29,0.7241379310344829,0.6206896551724138,0.9655172413793104,development
2018,RB,EFFICIENCY_REGRESSION,58,0.7228116710875331,0.6724137931034483,0.9655172413793104,development
2018,WR,EFFICIENCY_REGRESSION,84,0.8146258503401359,0.8690476190476191,0.9523809523809523,development
2018,TE,EFFICIENCY_REGRESSION,51,0.7254901960784313,0.7843137254901961,0.9215686274509803,development
2019,QB,EFFICIENCY_REGRESSION,31,0.7295285359801489,0.6774193548387096,1.0,development
2019,RB,EFFICIENCY_REGRESSION,55,0.6853146853146852,0.6545454545454545,0.9272727272727272,development
2019,WR,EFFICIENCY_REGRESSION,85,0.7932773109243698,0.8470588235294118,0.9647058823529412,development
2019,TE,EFFICIENCY_REGRESSION,49,0.80466472303207,0.8775510204081632,0.9591836734693877,development
2020,QB,EFFICIENCY_REGRESSION,37,0.760914760914761,0.6756756756756757,0.972972972972973,development
2020,RB,EFFICIENCY_REGRESSION,62,0.7568238213399504,0.7258064516129032,0.9516129032258065,development
2020,WR,EFFICIENCY_REGRESSION,94,0.762917933130699,0.8085106382978723,0.9787234042553191,development
2020,TE,EFFICIENCY_REGRESSION,48,0.6875,0.75,1.0,development
2021,QB,EFFICIENCY_REGRESSION,37,0.7567567567567568,0.5945945945945946,1.0,development
2021,RB,EFFICIENCY_REGRESSION,65,0.6958579881656805,0.6923076923076923,0.9846153846153847,development
2021,WR,EFFICIENCY_REGRESSION,91,0.7362637362637363,0.7912087912087912,0.9340659340659341,development
2021,TE,EFFICIENCY_REGRESSION,51,0.6666666666666665,0.7254901960784313,0.9607843137254902,development
2018,QB,QB_TEAM_ENVIRONMENT,29,0.9655172413793104,0.9655172413793104,0.9655172413793104,development
2018,RB,QB_TEAM_ENVIRONMENT,58,0.9655172413793104,0.9655172413793104,0.9655172413793104,development
2018,WR,QB_TEAM_ENVIRONMENT,84,0.9523809523809523,0.9523809523809523,0.9523809523809523,development
2018,TE,QB_TEAM_ENVIRONMENT,51,0.9215686274509803,0.9215686274509803,0.9215686274509803,development
2019,QB,QB_TEAM_ENVIRONMENT,31,1.0,1.0,1.0,development
2019,RB,QB_TEAM_ENVIRONMENT,55,0.9272727272727272,0.9272727272727272,0.9272727272727272,development
2019,WR,QB_TEAM_ENVIRONMENT,85,0.9647058823529412,0.9647058823529412,0.9647058823529412,development
2019,TE,QB_TEAM_ENVIRONMENT,49,0.9591836734693877,0.9591836734693877,0.9591836734693877,development
2020,QB,QB_TEAM_ENVIRONMENT,37,0.9707207207207207,0.972972972972973,0.972972972972973,development
2020,RB,QB_TEAM_ENVIRONMENT,62,0.9516129032258065,0.9516129032258065,0.9516129032258065,development
2020,WR,QB_TEAM_ENVIRONMENT,94,0.9787234042553191,0.9787234042553191,0.9787234042553191,development
2020,TE,QB_TEAM_ENVIRONMENT,48,1.0,1.0,1.0,development
2021,QB,QB_TEAM_ENVIRONMENT,37,1.0,1.0,1.0,development
2021,RB,QB_TEAM_ENVIRONMENT,65,0.9846153846153847,0.9846153846153847,0.9846153846153847,development
2021,WR,QB_TEAM_ENVIRONMENT,91,0.9340659340659341,0.9340659340659341,0.9340659340659341,development
2021,TE,QB_TEAM_ENVIRONMENT,51,0.9607843137254902,0.9607843137254902,0.9607843137254902,development
2018,QB,OL_ENVIRONMENT,29,0.9655172413793104,0.9655172413793104,0.9655172413793104,development
2018,RB,OL_ENVIRONMENT,58,0.9655172413793104,0.9655172413793104,0.9655172413793104,development
