player_id,season,position,family,feature_coverage_fraction,row_70pct_covered,prior_team_available,provenance_quality,split
00-0021206,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0022803,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0023459,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0023662,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0023682,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0026158,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0026197,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0026498,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0026544,2018,QB,OPPORTUNITY_ROLE,0.0,0,0,HIGH_LOCKED_LAGGED_PBP,development
00-0027796,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0027854,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0027948,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0027973,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0029604,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0029682,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0030520,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0030565,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0031237,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0031280,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0031288,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0031345,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0031503,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0031800,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0032245,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0032950,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0033104,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0033119,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0033899,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0033936,2018,QB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0023500,2018,RB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0025394,2018,RB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0025399,2018,RB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0026213,2018,RB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0028011,2018,RB,OPPORTUNITY_ROLE,0.9411764705882353,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0028063,2018,RB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0028064,2018,RB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0028083,2018,RB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0029141,2018,RB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0029205,2018,RB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0029273,2018,RB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0029492,2018,RB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0029613,2018,RB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0030107,2018,RB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0030404,2018,RB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0030433,2018,RB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0030456,2018,RB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0030656,2018,RB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0031045,2018,RB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0031102,2018,RB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0031209,2018,RB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0031301,2018,RB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0031577,2018,RB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0031599,2018,RB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0031665,2018,RB,OPPORTUNITY_ROLE,1.0,1,1,HIGH_LOCKED_LAGGED_PBP,development
00-0031687,2018,RB,OPPORTUNITY_ROLE,0.9411764705882353,1,1,HIGH_LOCKED_LAGGED_PBP,development
