player_id,player_name,position,rookie,draft_pick,age_sep1,experience_years,baseline_ppr_pg,ridge_ppr_pg,boost_ppr_pg,baseline_games,ridge_games,boost_games
00-0033106,Jared Goff,QB,False,1.0,31.883,10,17.4741,16.2178,15.1283,17.0,10.082,7.989
00-0034855,Baker Mayfield,QB,False,1.0,31.385,8,15.9953,15.6798,13.9384,17.0,8.318,4.163
00-0036442,Joe Burrow,QB,False,1.0,29.725,6,16.8075,15.1527,16.7164,8.0,7.774,6.743
00-0039164,Anthony Richardson,QB,False,4.0,24.28,3,1.08,14.5766,12.6246,2.0,4.594,5.314
00-0040676,Cam Ward,QB,False,1.0,24.272,1,10.98,14.1744,11.127,17.0,8.139,6.691
00-0039910,Jayden Daniels,QB,False,2.0,25.703,2,16.3257,14.0772,12.514,7.0,6.638,4.912
00-0035228,Kyler Murray,QB,False,1.0,29.068,7,15.556,14.0557,16.033,5.0,5.648,6.051
00-0033873,Patrick Mahomes,QB,False,10.0,30.958,9,20.4057,14.0413,14.4868,14.0,8.136,3.091
00-0034796,Lamar Jackson,QB,False,32.0,29.649,8,16.5277,13.4276,12.5491,13.0,6.974,4.503
00-0036212,Tua Tagovailoa,QB,False,5.0,28.502,6,11.4786,13.2065,11.6123,14.0,7.163,6.482
00-0040691,Jaxson Dart,QB,False,25.0,23.305,1,17.2557,13.0012,12.7214,14.0,7.423,5.725
00-0032268,Marcus Mariota,QB,False,2.0,32.838,11,12.55,12.9665,12.4211,10.0,6.246,5.376
00-0035710,Daniel Jones,QB,False,6.0,29.265,7,17.4185,12.6605,11.9756,13.0,7.122,5.637
00-0033077,Dak Prescott,QB,False,135.0,33.093,10,18.4576,12.325,13.7348,17.0,6.396,8.988
00-0030565,Geno Smith,QB,False,39.0,35.894,13,11.5933,12.1291,12.308,15.0,5.464,6.452
00-0036945,Justin Fields,QB,False,11.0,27.494,5,15.8511,11.7819,13.0502,9.0,6.0,5.522
00-0040743,Tyler Shough,QB,False,40.0,26.927,1,14.36,11.6899,10.5711,11.0,6.855,8.996
00-0041562,Fernando Mendoza,QB,True,1.0,22.919,0,13.4419,11.2233,11.8981,9.053,6.024,9.45
00-0039917,Michael Penix Jr.,QB,False,8.0,26.317,2,13.3644,11.0027,12.049,9.0,5.964,5.641
