season,position,feature,mae_increase
2018,QB,prev1_games,0.9791664683683287
2018,QB,weighted_ppr_pg,0.5200170464666369
2018,QB,prev2_ppr_pg,0.4388791492551583
2018,QB,prev1_carries_pg,0.36029600934927275
2018,QB,prev1_pass_epa_pg,0.30257235581112985
2018,QB,prev1_attempts_pg,0.15265027769180683
2018,QB,prev1_pass_tds_pg,0.11207650076910944
2018,QB,prev2_games,0.07689661746894175
2018,QB,games_delta,0.06515593755402023
2018,QB,age_sep1,0.05714037871997668
2018,QB,prev1_pass_yards_pg,0.055675258358105675
2018,QB,experience_years,0.026552473487879348
2018,QB,prev1_ppr_pg,0.010010483181239671
2018,QB,prev1_targets_pg,0.0
2018,QB,prev1_receptions_pg,0.0
2018,QB,prev1_rec_yards_pg,0.0
2018,QB,prev1_rec_tds_pg,0.0
2018,QB,prev1_rec_epa_pg,0.0
2018,QB,prev1_target_share,0.0
2018,QB,prev1_air_yards_share,0.0
2018,QB,prev1_wopr,0.0
2018,QB,prev1_rec_ypt,0.0
2018,QB,has_prev2,0.0
2018,QB,age_missing,0.0
2018,QB,draft_round,-0.005360368406714144
2018,QB,drafted,-0.008717730312783622
2018,QB,log_draft_pick,-0.009804314342233588
2018,QB,prev1_rush_tds_pg,-0.011198312417706724
2018,QB,prev1_rush_ypc,-0.0125701832849753
2018,QB,prev1_int_pg,-0.014281512106579086
2018,QB,ppr_delta,-0.039443009582523024
2018,QB,prev1_pass_ypa,-0.061494292779258684
2018,QB,prev1_rush_yards_pg,-0.07340540340026695
2018,QB,prev1_rush_epa_pg,-0.2828274696132218
2019,QB,prev1_carries_pg,0.12869106193441535
2019,QB,prev1_rush_epa_pg,0.11338898847184228
2019,QB,weighted_ppr_pg,0.07134014041099732
2019,QB,prev1_pass_ypa,0.041044967008172686
2019,QB,prev1_rush_yards_pg,0.03968382348038073
2019,QB,prev1_attempts_pg,0.030907801960164426
2019,QB,prev2_games,0.03065714332419649
2019,QB,prev1_rush_tds_pg,0.02092547554932338
2019,QB,ppr_delta,0.009568310200600116
2019,QB,experience_years,0.008844096826182124
2019,QB,games_delta,0.006435348825360699
2019,QB,prev1_targets_pg,0.002862301732869099
2019,QB,prev1_rush_ypc,0.0021266395307261376
2019,QB,drafted,0.0020405888126649786
2019,QB,prev1_receptions_pg,0.0
2019,QB,prev1_int_pg,0.0
2019,QB,prev1_rec_yards_pg,0.0
2019,QB,prev1_rec_tds_pg,0.0
2019,QB,prev1_air_yards_share,0.0
2019,QB,prev1_rec_ypt,0.0
2019,QB,has_prev2,0.0
2019,QB,age_missing,0.0
2019,QB,draft_round,0.0
2019,QB,prev1_rec_epa_pg,-0.00336027505066685
2019,QB,age_sep1,-0.00784495851634528
2019,QB,prev1_target_share,-0.009097643923242771
2019,QB,prev1_wopr,-0.019385963905097548
2019,QB,log_draft_pick,-0.019785606938137867
2019,QB,prev1_pass_tds_pg,-0.036479769773376344
2019,QB,prev1_pass_yards_pg,-0.036597383970649135
2019,QB,prev1_ppr_pg,-0.04921789668217933
2019,QB,prev1_games,-0.05223950009848952
2019,QB,prev1_pass_epa_pg,-0.21728845332366778
2019,QB,prev2_ppr_pg,-0.22162020899202783
2020,QB,weighted_ppr_pg,0.803485684159231
2020,QB,prev1_games,0.2939025462745629
2020,QB,prev2_ppr_pg,0.26151530299368025
2020,QB,prev2_games,0.09500556342123652
