position,model,feature,seasons,median_standardized_coefficient,median_abs_coefficient,positive_fraction,negative_fraction,direction_consistency,stable
QB,breakout,ppr_delta,8,-0.4766295827986029,0.4766295827986029,0.0,1.0,1.0,True
QB,breakout,prev1_pass_tds_pg,8,-0.44633648263123465,0.44633648263123465,0.0,1.0,1.0,True
QB,breakout,prev1_ppr_pg,8,-0.39079756468784677,0.39079756468784677,0.0,1.0,1.0,True
QB,breakout,drafted,8,0.38052169980740735,0.38052169980740735,1.0,0.0,1.0,True
QB,breakout,prev1_carries_pg,8,0.3405893112991625,0.3405893112991625,1.0,0.0,1.0,True
QB,breakout,prev1_pass_yards_pg,8,-0.33094636282062806,0.33094636282062806,0.0,1.0,1.0,True
QB,breakout,prev1_rec_yards_pg,8,-0.31224401200045415,0.31224401200045415,0.0,1.0,1.0,True
QB,breakout,weighted_ppr_pg,8,-0.3011742459005969,0.3011742459005969,0.0,1.0,1.0,True
QB,breakout,prev1_rush_yards_pg,8,-0.24420557675947252,0.24420557675947252,0.0,1.0,1.0,True
QB,breakout,prev2_games,8,0.24204196981430026,0.24204196981430026,1.0,0.0,1.0,True
QB,breakout,prev1_rec_epa_pg,8,0.22513959499111305,0.22513959499111305,1.0,0.0,1.0,True
QB,breakout,prev1_games,8,0.2231789760657224,0.2231789760657224,1.0,0.0,1.0,True
QB,breakout,prev1_rec_ypt,8,0.2071157668021267,0.2071157668021267,1.0,0.0,1.0,True
QB,breakout,prev1_rec_tds_pg,8,-0.13513698624008819,0.13513698624008819,0.0,1.0,1.0,True
QB,breakout,prev1_attempts_pg,8,0.12378565653077289,0.12378565653077289,1.0,0.0,1.0,True
QB,breakout,prev1_pass_epa_pg,8,0.2733960388060175,0.2733960388060175,0.875,0.125,0.875,True
QB,breakout,prev1_rush_epa_pg,8,-0.08805958140239432,0.08805958140239432,0.125,0.875,0.875,True
QB,breakout,prev1_rush_tds_pg,8,-0.08464642068371381,0.08464642068371381,0.125,0.875,0.875,True
QB,breakout,prev1_pass_ypa,8,-0.1327872202608677,0.1327872202608677,0.25,0.75,0.75,True
QB,breakout,log_draft_pick,8,0.05006111369857502,0.08735960066041626,0.75,0.25,0.75,True
QB,breakout,prev1_targets_pg,8,0.060019675307657616,0.060019675307657616,0.75,0.25,0.75,True
QB,breakout,games_delta,8,-0.043965688173901424,0.053492412034651535,0.125,0.875,0.875,False
QB,breakout,prev2_ppr_pg,8,-0.03642971939434038,0.03642971939434038,0.125,0.875,0.875,False
QB,breakout,prev1_air_yards_share,8,-0.03491252825782648,0.03491252825782648,0.125,0.875,0.875,False
QB,breakout,has_prev2,8,0.02440971878601375,0.02440971878601375,0.875,0.125,0.875,False
QB,breakout,experience_years,8,-0.008231783648869676,0.008231783648869676,0.125,0.875,0.875,False
QB,breakout,prev1_int_pg,8,-0.04546645300922728,0.0780815138381036,0.25,0.75,0.75,False
QB,breakout,draft_round,8,-0.025315026726231107,0.05411699776658735,0.25,0.75,0.75,False
QB,breakout,age_sep1,8,-0.02066049551259665,0.08734501407854772,0.375,0.625,0.625,False
QB,breakout,prev1_target_share,8,-0.0425018901316437,0.06077776347449318,0.375,0.625,0.625,False
QB,breakout,prev1_receptions_pg,8,-0.035064089180733664,0.058227005787601094,0.375,0.625,0.625,False
QB,breakout,prev1_wopr,8,-0.04502330831737967,0.054301843767921215,0.375,0.625,0.625,False
QB,breakout,prev1_rush_ypc,8,-0.025182971499435457,0.09189985699168957,0.5,0.5,0.5,False
QB,breakout,age_missing,8,0.0,0.0,0.0,0.0,0.0,False
QB,downside,ppr_delta,8,0.5365963155004547,0.5365963155004547,1.0,0.0,1.0,True
QB,downside,prev1_games,8,-0.340166624912022,0.340166624912022,0.0,1.0,1.0,True
QB,downside,prev1_attempts_pg,8,0.3307987361674541,0.3307987361674541,1.0,0.0,1.0,True
QB,downside,prev1_pass_ypa,8,0.32723067001676426,0.32723067001676426,1.0,0.0,1.0,True
QB,downside,prev1_pass_yards_pg,8,0.32576267436205464,0.32576267436205464,1.0,0.0,1.0,True
QB,downside,log_draft_pick,8,0.3158119528126288,0.3158119528126288,1.0,0.0,1.0,True
QB,downside,prev1_ppr_pg,8,0.3026857213053258,0.3026857213053258,1.0,0.0,1.0,True
QB,downside,drafted,8,-0.29141148748578416,0.29141148748578416,0.0,1.0,1.0,True
QB,downside,prev1_rec_ypt,8,-0.2738845959735532,0.2738845959735532,0.0,1.0,1.0,True
QB,downside,prev1_rush_yards_pg,8,0.2652348151531555,0.2652348151531555,1.0,0.0,1.0,True
QB,downside,prev2_games,8,-0.2609516436680254,0.2609516436680254,0.0,1.0,1.0,True
QB,downside,draft_round,8,-0.25238127996908133,0.25238127996908133,0.0,1.0,1.0,True
QB,downside,prev1_target_share,8,-0.22578476194372638,0.22578476194372638,0.0,1.0,1.0,True
QB,downside,weighted_ppr_pg,8,0.18994756319897604,0.18994756319897604,1.0,0.0,1.0,True
QB,downside,prev1_receptions_pg,8,-0.18717803693064555,0.18717803693064555,0.0,1.0,1.0,True
