season,position,label,n,prevalence,roc_auc,average_precision,brier,climatology_brier,brier_skill,log_loss,ece_fixed_bins,warning_informative
2018,QB,breakout,29,0.1724137931034483,0.7333333333333334,0.5216666666666667,0.13151759485684086,0.1426872770511296,0.07828085604497359,0.4260099598017829,0.0969499407154458,False
2019,QB,breakout,31,0.22580645161290322,0.761904761904762,0.5659816374102088,0.15285895317176365,0.1748178980228928,0.12561039286866138,0.4715616600753615,0.052376876701470274,False
2020,QB,breakout,37,0.2702702702702703,0.7814814814814816,0.7315682030387912,0.1605823597829533,0.19722425127830534,0.18578796095235905,0.4889654962697025,0.09137377988679257,False
2021,QB,breakout,37,0.16216216216216217,0.8763440860215054,0.5929894179894181,0.10381585759368099,0.1358655953250548,0.23589296211962762,0.3435655304924281,0.0864029846675763,False
2022,QB,breakout,44,0.3409090909090909,0.7862068965517242,0.6500086175058124,0.204043952232145,0.22469008264462811,0.09188714592774094,0.584514832200583,0.1155827125789944,False
2023,QB,breakout,42,0.19047619047619047,0.7242647058823529,0.6251375711574952,0.1257555712772812,0.15419501133786848,0.18443813333410275,0.41353675536650075,0.09065549590719907,False
2024,QB,breakout,41,0.24390243902439024,0.7645161290322581,0.4946520146520147,0.16458089374429616,0.18441403926234384,0.10754683101883278,0.48730243561085884,0.0634986544784757,False
2025,QB,breakout,36,0.2777777777777778,0.7576923076923078,0.6075350140056022,0.1686266719081496,0.2006172839506173,0.15946089695014665,0.5106197760866159,0.07018868704462339,True
2018,QB,downside,29,0.27586206896551724,0.7678571428571428,0.5483610751993104,0.17712481097523894,0.19976218787158145,0.11332163077276225,0.5272185501132017,0.10439702514923799,False
2019,QB,downside,31,0.41935483870967744,0.7521367521367521,0.6816621412775259,0.23244308841929567,0.24349635796045785,0.045393983030157514,0.6478600066544927,0.17053568846162548,False
2020,QB,downside,37,0.35135135135135137,0.6826923076923077,0.620397505738995,0.19449801987023974,0.22790357925493063,0.14657759871039044,0.5615759914851953,0.1211803116007467,False
2021,QB,downside,37,0.3783783783783784,0.6180124223602484,0.56250421632277,0.22494874352148425,0.23520818115412712,0.04361854074250959,0.6393500717157508,0.17599414210043743,False
2022,QB,downside,44,0.18181818181818182,0.8611111111111112,0.5901385175282234,0.1301932108406039,0.1487603305785124,0.12481230490482942,0.42132600186945834,0.15157600161063642,False
2023,QB,downside,42,0.2857142857142857,0.7166666666666666,0.5492183742183743,0.1795294657060336,0.20408163265306123,0.12030561804043538,0.5332661506239798,0.06343943567535826,True
2024,QB,downside,41,0.3170731707317073,0.8543956043956044,0.7966940608021509,0.14570356489620628,0.2165377751338489,0.32712172365241,0.4538199584937606,0.11437153168991673,True
2025,QB,downside,36,0.3888888888888889,0.8116883116883117,0.7730119759467585,0.17072856824226507,0.23765432098765435,0.2816096609026769,0.5024779608532784,0.14238041511331412,True
2018,QB,low_availability,57,0.8421052631578947,0.8888888888888888,0.9804831483658456,0.10386296167470342,0.13296398891966763,0.21886397573816818,0.3403341669082153,0.07188284649399812,False
2019,QB,low_availability,60,0.8166666666666667,0.738404452690167,0.932713013252904,0.14172730773184955,0.14972222222222223,0.05339831570564313,0.4307386596238697,0.0806601192424497,False
2020,QB,low_availability,57,0.7543859649122807,0.8471760797342193,0.9525042985488311,0.1492506419267323,0.18528778085564787,0.1944927979734995,0.4391668501612865,0.08743333886134701,True
2021,QB,low_availability,63,0.873015873015873,0.8977272727272728,0.9854801979648781,0.08692770723577828,0.11085915847820609,0.21587256813908173,0.29191011699830127,0.10050164275698664,False
2022,QB,low_availability,66,0.803030303030303,0.8635703918722788,0.9689190755025254,0.13207207118439734,0.15817263544536275,0.16501314647426024,0.39114778271509076,0.08365472465198881,False
2023,QB,low_availability,66,0.803030303030303,0.695210449927431,0.9057120670224955,0.15064540031069723,0.15817263544536275,0.04758873185283452,0.4813884545712523,0.07455836554719691,False
2024,QB,low_availability,66,0.7575757575757576,0.7725,0.90483058540754,0.15007130717470202,0.18365472910927458,0.1828617324337476,0.46532705006320313,0.05474798385082216,True
2025,QB,low_availability,60,0.85,0.6949891067538126,0.9400309142095485,0.1389022247250642,0.1275,-0.08942921352991529,0.4270806959937615,0.06109773746699409,False
2018,RB,breakout,58,0.1896551724137931,0.6189555125725339,0.259131291869658,0.1509908355431273,0.1536860879904875,0.017537387297716922,0.47660368336709985,0.027543452323608678,False
2019,RB,breakout,55,0.18181818181818182,0.6377777777777778,0.3262416945311682,0.14866344244183952,0.1487603305785124,0.0006513035854122107,0.49881157926805075,0.04240248756616592,False
2020,RB,breakout,62,0.25806451612903225,0.7133152173913043,0.4979085312392223,0.1904848051926814,0.1914672216441207,0.005130990270832414,0.5675477153930147,0.08470473364777706,False
2021,RB,breakout,65,0.13846153846153847,0.5198412698412698,0.28349588493090117,0.12334735040729593,0.11928994082840239,-0.03401300688655806,0.41406651862028754,0.08108159746326107,False
2022,RB,breakout,62,0.12903225806451613,0.6481481481481483,0.2127002358107009,0.11309190366478339,0.11238293444328824,-0.00630851316534109,0.386694654855096,0.05683875014917496,False
2023,RB,breakout,59,0.15254237288135594,0.7288888888888889,0.3064667171936314,0.12448838895944986,0.1292731973570813,0.03701315118256665,0.41028736050451026,0.08363885359875713,False
2024,RB,breakout,59,0.1864406779661017,0.5681818181818181,0.26695262703687916,0.15048257494318948,0.15168055156564206,0.00789802390673755,0.47658283122647366,0.0356775500866343,False
2025,RB,breakout,52,0.09615384615384616,0.6382978723404256,0.41634615384615387,0.09078572941044905,0.08690828402366864,-0.04461537159937956,0.33453647392772184,0.08359586475152528,False
2018,RB,downside,58,0.29310344827586204,0.7618364418938307,0.5610400808588992,0.18006651983413946,0.2071938168846611,0.13092715534857213,0.5334919817969404,0.08921891859139885,False
2019,RB,downside,55,0.3090909090909091,0.7956656346749226,0.5559802516324255,0.1804988270957335,0.21355371900826445,0.154784904079576,0.5431450024915839,0.11909605892007954,True
2020,RB,downside,62,0.2903225806451613,0.8093434343434343,0.5484716816837264,0.17192486290156386,0.20603537981269512,0.16555659975554116,0.514508356966765,0.1311098957474789,False
2021,RB,downside,65,0.27692307692307694,0.9089834515366431,0.8107169714625855,0.1249102937462603,0.20023668639053255,0.3761867717754731,0.40707003207846737,0.14077835030076055,True
2022,RB,downside,62,0.2903225806451613,0.803030303030303,0.6355540368948513,0.16361962849787992,0.20603537981269512,0.20586634855321928,0.49132106314137386,0.09903523964849062,True
2023,RB,downside,59,0.3050847457627119,0.7655826558265583,0.5492691225781374,0.18433963826107705,0.21200804366561332,0.13050639459781943,0.5268408546063478,0.16085183098248787,True
2024,RB,downside,59,0.11864406779661017,0.7335164835164835,0.2428647764195937,0.12625936447984246,0.10456765297328353,-0.207441889434977,0.4002156884346837,0.1298416719799916,False
2025,RB,downside,52,0.19230769230769232,0.7690476190476191,0.409202733881851,0.15723900115658832,0.15532544378698226,-0.012319664589082846,0.4695075620371256,0.12426978470037822,False
2018,RB,low_availability,111,0.7027027027027027,0.7482517482517483,0.8858506060412286,0.19508445639525407,0.2089116143170197,0.06618664054159851,0.5745668973155883,0.012845487295622666,True
2019,RB,low_availability,111,0.6936936936936937,0.6779984721161192,0.7916571320198368,0.19860641299467022,0.21248275302329356,0.06530572402317347,0.5980549711089896,0.03946332187165777,False
2020,RB,low_availability,110,0.6909090909090909,0.6191950464396285,0.7755828657682792,0.21048579547462473,0.21355371900826445,0.014366050602569902,0.6094704635777495,0.03003764497952944,False
2021,RB,low_availability,116,0.7241379310344828,0.6357886904761905,0.8221943246132639,0.19160303738546816,0.19976218787158145,0.040844318802507606,0.5685006419566805,0.03055772667236305,False
2022,RB,low_availability,119,0.7647058823529411,0.8182888540031398,0.9323487176203782,0.15794678191052622,0.1799307958477509,0.12218038515111407,0.4929664965819805,0.08456414935259608,True
2023,RB,low_availability,117,0.7606837606837606,0.8282504012841091,0.935322295588547,0.1512967065586476,0.18204397691577182,0.16890023431728463,0.4738989874634249,0.1408330435300469,True
2024,RB,low_availability,110,0.6636363636363637,0.7637911884487227,0.8564537271402242,0.188471086559646,0.22322314049586775,0.1556830257787053,0.5559124060676878,0.07673131717935656,True
2025,RB,low_availability,106,0.7452830188679245,0.7529301453352087,0.9056975944310233,0.16596358293582966,0.1898362406550374,0.12575395318003668,0.5045941462904445,0.06514028346889582,True
2018,WR,breakout,84,0.2261904761904762,0.6939271255060728,0.47206405176859023,0.1640204680806042,0.17502834467120182,0.06289196536296104,0.5008103217304156,0.04104997766017039,False
2019,WR,breakout,85,0.23529411764705882,0.7376923076923076,0.6623280760517709,0.16247878228362386,0.17993079584775085,0.09699292153909034,0.4996241544625731,0.05469336507606097,False
2020,WR,breakout,94,0.1595744680851064,0.5476793248945148,0.1750473699590337,0.14157933279750778,0.13411045722046175,-0.055691970125551604,0.4513403491738478,0.06680031598757336,False
2021,WR,breakout,91,0.13186813186813187,0.649789029535865,0.2418535699151825,0.11648018433458289,0.11447892766574086,-0.01748144142898833,0.4551489721392226,0.059706389179915956,False
2022,WR,breakout,96,0.11458333333333333,0.8139037433155081,0.5032659759322297,0.09748088571923959,0.10145399305555555,0.039161665466831974,0.3454457216971092,0.09184191190359572,True
2023,WR,breakout,77,0.07792207792207792,0.5211267605633803,0.08827351196652922,0.08413798364995229,0.07185022769438354,-0.1710190259637725,0.3169805195092141,0.09806296150644632,False
2024,WR,breakout,85,0.17647058823529413,0.6495238095238095,0.3514431837057498,0.14058172525750617,0.1453287197231834,0.03266384287096946,0.4482006022471077,0.010971723475834819,False
