season,position,model,rank_mae,spearman,mae,rmse
2018,QB,mean_only,5.448275862068965,0.6418719211822659,4.231524264026354,5.222860004260571
2019,QB,mean_only,6.903225806451613,0.5137096774193549,4.734325783226116,5.922122341362697
2020,QB,mean_only,6.27027027027027,0.7190611664295874,3.9795759567769458,4.823187639001744
2021,QB,mean_only,7.351351351351352,0.6064485538169748,3.7901388759623864,4.853530424527421
2022,QB,mean_only,8.227272727272727,0.6369274136715997,3.6453369180625743,4.686217038385432
2023,QB,mean_only,9.619047619047619,0.48918240012964914,4.353038292018438,5.516435853225474
2024,QB,mean_only,9.073170731707316,0.449651567944251,4.653811401034464,5.8322269893869505
2025,QB,mean_only,9.277777777777779,0.3933075933075934,4.864831386340557,5.719365015922367
2018,QB,risk_modifier,5.448275862068965,0.6418719211822659,4.231524264026354,5.222860004260571
2019,QB,risk_modifier,6.903225806451613,0.5137096774193549,4.734325783226116,5.922122341362697
2020,QB,risk_modifier,6.27027027027027,0.7190611664295874,3.9795759567769458,4.823187639001744
2021,QB,risk_modifier,7.351351351351352,0.6064485538169748,3.7901388759623864,4.853530424527421
2022,QB,risk_modifier,8.227272727272727,0.6369274136715997,3.6453369180625743,4.686217038385432
2023,QB,risk_modifier,9.619047619047619,0.48918240012964914,4.353038292018438,5.516435853225474
2024,QB,risk_modifier,9.073170731707316,0.449651567944251,4.653811401034464,5.8322269893869505
2025,QB,risk_modifier,9.277777777777779,0.3933075933075934,4.864831386340557,5.719365015922367
2018,RB,mean_only,11.241379310344827,0.6433153444815736,3.2233721956218764,4.291011071427854
2019,RB,mean_only,9.454545454545455,0.688989531689598,2.9639450827505835,4.298069852551515
2020,RB,mean_only,12.193548387096774,0.6143463316234705,3.1403061292323864,3.9583803660520154
2021,RB,mean_only,12.123076923076923,0.6188852606858435,2.448065691050775,3.2008452494521986
2022,RB,mean_only,11.35483870967742,0.6344989120700637,2.404257587273201,3.08586648757479
2023,RB,mean_only,10.271186440677965,0.699655122700908,2.8643774286712596,3.2921626960701653
2024,RB,mean_only,9.627118644067796,0.733528239464959,2.88005845745865,3.713428054886909
2025,RB,mean_only,7.384615384615385,0.7905978725464448,2.3562796831552095,3.123615419239815
2018,RB,risk_modifier,11.241379310344827,0.6433153444815736,3.2233721956218764,4.291011071427854
2019,RB,risk_modifier,9.454545454545455,0.688989531689598,2.9639450827505835,4.298069852551515
2020,RB,risk_modifier,12.193548387096774,0.6143463316234705,3.1403061292323864,3.9583803660520154
2021,RB,risk_modifier,12.123076923076923,0.6188852606858435,2.448065691050775,3.2008452494521986
2022,RB,risk_modifier,11.35483870967742,0.6344989120700637,2.404257587273201,3.08586648757479
2023,RB,risk_modifier,10.271186440677965,0.699655122700908,2.8643774286712596,3.2921626960701653
2024,RB,risk_modifier,9.627118644067796,0.733528239464959,2.88005845745865,3.713428054886909
2025,RB,risk_modifier,7.384615384615385,0.7905978725464448,2.3562796831552095,3.123615419239815
2018,WR,mean_only,12.904761904761905,0.7430854778107954,2.616650250615799,3.3949910906158958
2019,WR,mean_only,17.741176470588236,0.5565718779629583,3.556733767918359,4.405092078769308
2020,WR,mean_only,16.46808510638298,0.7050560940774528,2.4724456038720786,3.196837426768169
2021,WR,mean_only,15.736263736263735,0.6449601278603763,3.6329701122968507,10.074042093905408
2022,WR,mean_only,16.125,0.7044837203398843,2.3478400140296025,2.8232972952611055
2023,WR,mean_only,12.207792207792208,0.745632730688385,2.5298848793450968,3.030887316245315
2024,WR,mean_only,12.51764705882353,0.8021824218415337,2.6845180158156903,3.247168198805105
2025,WR,mean_only,12.813953488372093,0.7787875647889597,2.2480886330865792,2.788548758844561
2018,WR,risk_modifier,12.904761904761905,0.7430854778107954,2.616650250615799,3.3949910906158958
2019,WR,risk_modifier,17.741176470588236,0.5565718779629583,3.556733767918359,4.405092078769308
2020,WR,risk_modifier,16.46808510638298,0.7050560940774528,2.4724456038720786,3.196837426768169
2021,WR,risk_modifier,15.736263736263735,0.6449601278603763,3.6329701122968507,10.074042093905408
2022,WR,risk_modifier,16.125,0.7044837203398843,2.3478400140296025,2.8232972952611055
2023,WR,risk_modifier,12.207792207792208,0.745632730688385,2.5298848793450968,3.030887316245315
2024,WR,risk_modifier,12.51764705882353,0.8021824218415337,2.6845180158156903,3.247168198805105
2025,WR,risk_modifier,12.813953488372093,0.7787875647889597,2.2480886330865792,2.788548758844561
2018,TE,mean_only,10.745098039215685,0.5552060639558077,2.069365192874602,2.7193455017625334
2019,TE,mean_only,9.061224489795919,0.6396081534773456,2.3218173446782586,2.9854699389134227
2020,TE,mean_only,9.791666666666666,0.5434753343808628,2.3415477504883166,3.0080194131629363
2021,TE,mean_only,9.254901960784315,0.6956994827837638,1.5998456653988564,2.0080336735653077
2022,TE,mean_only,10.892857142857142,0.5928201073103366,2.104520174288973,4.040427871005309
2023,TE,mean_only,9.423076923076923,0.6971948410443282,1.5920773118140574,1.9948109146550443
2024,TE,mean_only,9.04,0.6769917910494867,1.8987975535215926,2.453287711652169
2025,TE,mean_only,9.403508771929825,0.7212738486438072,1.7530631560039107,2.4116229958574396
2018,TE,risk_modifier,10.745098039215685,0.5552060639558077,2.069365192874602,2.7193455017625334
2019,TE,risk_modifier,9.061224489795919,0.6396081534773456,2.3218173446782586,2.9854699389134227
2020,TE,risk_modifier,9.791666666666666,0.5434753343808628,2.3415477504883166,3.0080194131629363
2021,TE,risk_modifier,9.254901960784315,0.6956994827837638,1.5998456653988564,2.0080336735653077
2022,TE,risk_modifier,10.892857142857142,0.5928201073103366,2.104520174288973,4.040427871005309
2023,TE,risk_modifier,9.423076923076923,0.6971948410443282,1.5920773118140574,1.9948109146550443
2024,TE,risk_modifier,9.04,0.6769917910494867,1.8987975535215926,2.453287711652169
2025,TE,risk_modifier,9.403508771929825,0.7212738486438072,1.7530631560039107,2.4116229958574396
