position,label,bin_low,bin_high,n,mean_pred,event_rate
QB,breakout,0.0,0.2,189,0.12758244895189258,0.1164021164021164
QB,breakout,0.2,0.4,77,0.27880321359712623,0.37662337662337664
QB,breakout,0.4,0.6,27,0.4795674404995696,0.6296296296296297
QB,breakout,0.6,0.8,4,0.6997783222831679,0.75
QB,breakout,0.8,1.0,0,,
QB,downside,0.0,0.2,82,0.12774612412527964,0.07317073170731707
QB,downside,0.2,0.4,139,0.2967170497699017,0.3597122302158273
QB,downside,0.4,0.6,63,0.4688510118266623,0.42857142857142855
QB,downside,0.6,0.8,10,0.7053490338212907,0.9
QB,downside,0.8,1.0,3,0.8585881381949211,1.0
QB,low_availability,0.0,0.2,0,,
QB,low_availability,0.2,0.4,7,0.3534186685669279,0.8571428571428571
QB,low_availability,0.4,0.6,45,0.5277535407402809,0.5777777777777777
QB,low_availability,0.6,0.8,123,0.7063454305499874,0.6016260162601627
QB,low_availability,0.8,1.0,320,0.9060843272725367,0.925
RB,breakout,0.0,0.2,259,0.16672429302893313,0.11583011583011583
RB,breakout,0.2,0.4,213,0.22710978721985306,0.2300469483568075
RB,breakout,0.4,0.6,0,,
RB,breakout,0.6,0.8,0,,
RB,breakout,0.8,1.0,0,,
RB,downside,0.0,0.2,192,0.12912593496275182,0.036458333333333336
RB,downside,0.2,0.4,172,0.28844515748987765,0.3430232558139535
RB,downside,0.4,0.6,67,0.48951429073136643,0.5223880597014925
RB,downside,0.6,0.8,35,0.6851203187962288,0.5428571428571428
RB,downside,0.8,1.0,6,0.8712554217148757,0.5
RB,low_availability,0.0,0.2,0,,
RB,low_availability,0.2,0.4,3,0.33399322402696824,0.6666666666666666
RB,low_availability,0.4,0.6,123,0.5442237701119159,0.43089430894308944
RB,low_availability,0.6,0.8,647,0.7088685015211313,0.7372488408037094
RB,low_availability,0.8,1.0,127,0.8401540606293254,0.905511811023622
WR,breakout,0.0,0.2,459,0.14061319951161874,0.1111111111111111
WR,breakout,0.2,0.4,236,0.25122534065011065,0.2288135593220339
WR,breakout,0.4,0.6,3,0.4610953937718176,0.0
WR,breakout,0.6,0.8,0,,
WR,breakout,0.8,1.0,0,,
WR,downside,0.0,0.2,421,0.12037789449046934,0.09501187648456057
WR,downside,0.2,0.4,212,0.275574141630326,0.39622641509433965
WR,downside,0.4,0.6,47,0.46854374625910683,0.3829787234042553
WR,downside,0.6,0.8,11,0.6914201364267839,0.6363636363636364
WR,downside,0.8,1.0,7,0.9112799228284078,0.5714285714285714
WR,low_availability,0.0,0.2,0,,
WR,low_availability,0.2,0.4,35,0.35245266541265263,0.4857142857142857
WR,low_availability,0.4,0.6,313,0.5186634345545109,0.45686900958466453
WR,low_availability,0.6,0.8,559,0.7052947741511848,0.7119856887298748
WR,low_availability,0.8,1.0,444,0.8520534130431295,0.8896396396396397
TE,breakout,0.0,0.2,412,0.12142945019327557,0.11650485436893204
TE,breakout,0.2,0.4,2,0.2367934065997505,0.0
TE,breakout,0.4,0.6,0,,
TE,breakout,0.6,0.8,0,,
TE,breakout,0.8,1.0,0,,
TE,downside,0.0,0.2,342,0.06329975213039696,0.06432748538011696
TE,downside,0.2,0.4,44,0.2729301339928204,0.2727272727272727
TE,downside,0.4,0.6,15,0.5136712666686754,0.26666666666666666
TE,downside,0.6,0.8,11,0.6872537420216143,0.7272727272727273
TE,downside,0.8,1.0,2,0.8780530574402015,1.0
TE,low_availability,0.0,0.2,3,0.0010162586572865834,0.3333333333333333
TE,low_availability,0.2,0.4,7,0.33194416074684663,0.2857142857142857
TE,low_availability,0.4,0.6,131,0.5437765835480148,0.42748091603053434
TE,low_availability,0.6,0.8,422,0.7082066263742629,0.7156398104265402
TE,low_availability,0.8,1.0,199,0.8438136528026156,0.8944723618090452
