player_id,player_name,position,prior_2025_games,naive_prev_ppr_pg,ridge_shadow_ppr_pg,boost_shadow_ppr_pg,rookie_or_no_2025_history
00-0033873,Patrick Mahomes,QB,14,20.4057,17.4829,20.2456,False
00-0036442,Joe Burrow,QB,8,16.8075,16.5168,18.0984,False
00-0034855,Baker Mayfield,QB,17,15.9953,15.9338,15.6602,False
00-0033077,Dak Prescott,QB,17,18.4576,15.3152,14.9266,False
00-0035228,Kyler Murray,QB,5,15.5560,15.1084,14.7622,False
00-0033106,Jared Goff,QB,17,17.4741,16.7043,14.5163,False
00-0033119,Jacoby Brissett,QB,14,16.2457,10.9997,13.9760,False
00-0036945,Justin Fields,QB,9,15.8511,12.0359,13.7381,False
00-0026158,Joe Flacco,QB,13,11.2815,10.5217,13.4851,False
00-0040691,Jaxson Dart,QB,14,17.2557,15.3678,13.1312,False
00-0038128,Malik Willis,QB,4,12.7950,9.7094,13.0095,False
00-0034796,Lamar Jackson,QB,13,16.5277,15.8445,12.6489,False
00-0036212,Tua Tagovailoa,QB,14,11.4786,13.6515,12.6290,False
00-0035710,Daniel Jones,QB,13,17.4185,13.1960,12.5329,False
00-0039910,Jayden Daniels,QB,7,16.3257,14.8248,12.0721,False
00-0030565,Geno Smith,QB,15,11.5933,13.9714,12.0128,False
00-0040743,Tyler Shough,QB,11,14.3600,12.5723,11.8973,False
00-0033869,Mitchell Trubisky,QB,4,7.7800,10.1294,11.5754,False
00-0032950,Carson Wentz,QB,5,14.0680,11.5627,11.5509,False
00-0032268,Marcus Mariota,QB,10,12.5500,13.2905,10.9920,False
00-0040676,Cam Ward,QB,17,10.9800,11.5212,10.9473,False
00-0040704,Dillon Gabriel,QB,10,7.0080,9.0983,9.8234,False
00-0039923,J.J. McCarthy,QB,10,12.5380,11.4373,9.4928,False
00-0029604,Kirk Cousins,QB,10,10.3540,10.9673,9.1390,False
00-0039917,Michael Penix Jr.,QB,9,13.3644,8.1892,9.1334,False
00-0035993,Tyler Huntley,QB,5,8.0280,9.1566,8.6797,False
00-0040398,Brady Cook,QB,5,5.6920,6.0242,8.4230,False
00-0029263,Russell Wilson,QB,6,8.3067,9.0289,7.7607,False
00-0039398,Joe Milton III,QB,4,2.5800,6.8980,7.7545,False
00-0035100,Jake Browning,QB,5,9.7480,8.5920,7.6140,False
00-0033662,Cooper Rush,QB,4,0.4300,5.8369,7.5333,False
00-0040234,Quinn Ewers,QB,4,8.2950,9.4977,7.4569,False
00-0027973,Andy Dalton,QB,4,2.3800,5.6091,7.2998,False
00-0036898,Davis Mills,QB,6,11.4333,5.4442,7.2307,False
00-0038400,Tanner McKee,QB,4,3.4400,6.4259,7.1678,False
00-0040206,Riley Leonard,QB,5,6.2000,7.1312,7.0777,False
00-0039376,Spencer Rattler,QB,9,11.0156,5.0113,6.8006,False
00-0028118,Tyrod Taylor,QB,6,9.9100,10.8449,6.2384,False
00-0040668,Shedeur Sanders,QB,8,10.6125,9.8434,6.0947,False
