target_season,position,rows,zero_game_rows,zero_game_fraction,has_prev2_fraction,core_stats_source_coverage_fraction
2018,QB,57,28,0.49122807017543857,0.6140350877192983,1.0
2018,RB,111,53,0.4774774774774775,0.5855855855855856,1.0
2018,WR,156,72,0.46153846153846156,0.4358974358974359,1.0
2018,TE,95,44,0.4631578947368421,0.5684210526315789,1.0
2019,QB,60,29,0.48333333333333334,0.48333333333333334,1.0
2019,RB,111,56,0.5045045045045045,0.5225225225225225,1.0
2019,WR,175,90,0.5142857142857142,0.48,1.0
2019,TE,98,49,0.5,0.5204081632653061,1.0
2020,QB,57,20,0.3508771929824561,0.543859649122807,1.0
2020,RB,110,48,0.43636363636363634,0.5,1.0
2020,WR,175,81,0.46285714285714286,0.4857142857142857,1.0
2020,TE,95,47,0.49473684210526314,0.5157894736842106,1.0
2021,QB,63,26,0.4126984126984127,0.5873015873015873,1.0
2021,RB,116,51,0.4396551724137931,0.5344827586206896,1.0
2021,WR,162,71,0.4382716049382716,0.5802469135802469,1.0
2021,TE,94,43,0.4574468085106383,0.5106382978723404,1.0
2022,QB,66,22,0.3333333333333333,0.5606060606060606,1.0
2022,RB,119,57,0.4789915966386555,0.5462184873949579,1.0
2022,WR,188,92,0.48936170212765956,0.48404255319148937,1.0
2022,TE,102,46,0.45098039215686275,0.5,1.0
2023,QB,66,24,0.36363636363636365,0.6666666666666666,1.0
2023,RB,117,58,0.49572649572649574,0.5299145299145299,1.0
2023,WR,171,94,0.5497076023391813,0.5614035087719298,1.0
2023,TE,92,40,0.43478260869565216,0.6086956521739131,1.0
2024,QB,66,25,0.3787878787878788,0.6363636363636364,1.0
2024,RB,110,51,0.4636363636363636,0.5363636363636364,1.0
2024,WR,154,69,0.44805194805194803,0.5,1.0
2024,TE,91,41,0.45054945054945056,0.5714285714285714,1.0
2025,QB,60,24,0.4,0.6833333333333333,1.0
2025,RB,106,54,0.5094339622641509,0.5566037735849056,1.0
2025,WR,170,84,0.49411764705882355,0.5,1.0
2025,TE,95,38,0.4,0.5263157894736842,1.0
