split,event,model,scope,scope_value,n,prevalence,brier,brier_baseline,brier_skill,roc_auc,pr_auc,log_loss
development,low_availability,PREVALENCE,pooled,ALL,1735,0.723342939481268,0.19952959539587847,0.19952959539587847,0.0,0.5271937250996016,0.7490849374196922,0.5879842884196851
development,low_availability,PREVALENCE,position,QB,237,0.8227848101265823,0.1475596022147409,0.1475596022147409,0.0,0.43205128205128207,0.7968146080712063,0.4725121716556807
development,low_availability,PREVALENCE,position,RB,448,0.703125,0.20904078429427456,0.20904078429427456,0.0,0.5095834825158133,0.7099300992158175,0.6088973307046436
development,low_availability,PREVALENCE,position,WR,668,0.688622754491018,0.21448339348399792,0.21448339348399792,0.0,0.49447115384615387,0.6853266757350992,0.6203412531613859
development,low_availability,PREVALENCE,position,TE,382,0.7460732984293194,0.19446870176913614,0.19446870176913614,0.0,0.4885512750949539,0.7433500622826703,0.578516739419558
development,low_availability,LOGIT_MINIMAL,pooled,ALL,1735,0.723342939481268,0.1798512858214557,0.19952959539587847,0.0986235126442262,0.7107179614873838,0.8630796403785262,0.535229905319496
development,low_availability,LOGIT_MINIMAL,position,QB,237,0.8227848101265823,0.12025870878344858,0.1475596022147409,0.18501604112189063,0.8114163614163615,0.9501434374171027,0.3810269514137532
development,low_availability,LOGIT_MINIMAL,position,RB,448,0.703125,0.19642009414508996,0.20904078429427456,0.0603742958188388,0.6563790428452083,0.8076485934230284,0.577038019435968
development,low_availability,LOGIT_MINIMAL,position,WR,668,0.688622754491018,0.19085517982572547,0.21448339348399792,0.11016337103989027,0.7065896739130434,0.8351674321422218,0.5637567854257203
development,low_availability,LOGIT_MINIMAL,position,TE,382,0.7460732984293194,0.17814975030880476,0.19446870176913614,0.08391556745056306,0.6996020980285766,0.874763029623669,0.5319841174674638
development,low_availability,LOGIT_FULL,pooled,ALL,1735,0.723342939481268,0.18372287539801954,0.19952959539587847,0.07921992708148118,0.7052755644090305,0.850880213702333,0.5546806516067817
development,low_availability,LOGIT_FULL,position,QB,237,0.8227848101265823,0.12390438757046628,0.1475596022147409,0.16030955823430326,0.8274725274725275,0.9593406633947132,0.3803756675606069
development,low_availability,LOGIT_FULL,position,RB,448,0.703125,0.19911895721008105,0.20904078429427456,0.04746359480849527,0.663420455901659,0.8057430674455751,0.5940673557310813
development,low_availability,LOGIT_FULL,position,WR,668,0.688622754491018,0.19462106303890236,0.21448339348399792,0.09260544661504266,0.6940739966555184,0.8028855042543134,0.5945858482746642
development,low_availability,LOGIT_FULL,position,TE,382,0.7460732984293194,0.18372169115513173,0.19446870176913614,0.05526344607762501,0.6899620184481823,0.8693983249687421,0.5468491500285403
development,high_availability,PREVALENCE,pooled,ALL,1735,0.13487031700288185,0.11701237624837299,0.11701237624837299,0.0,0.54271084234442,0.1477409602968024,0.3966736761922611
development,high_availability,PREVALENCE,position,QB,237,0.0970464135021097,0.08978821871196989,0.08978821871196989,0.0,0.5030475416497359,0.0961769153858985,0.32818290667060457
development,high_availability,PREVALENCE,position,RB,448,0.14732142857142858,0.12592040445886252,0.12592040445886252,0.0,0.49214659685863876,0.14378726604098682,0.4191637873392467
development,high_availability,PREVALENCE,position,WR,668,0.15419161676646706,0.13119551426730403,0.13119551426730403,0.0,0.48791992439212994,0.15058077514911153,0.4326229425603548
development,high_availability,PREVALENCE,position,TE,382,0.1099476439790576,0.09865371787450467,0.09865371787450467,0.0,0.4774509803921569,0.10357184046934288,0.349926641241728
