split,event,model,scope,scope_value,reliability_bin,n,mean_probability,event_rate
development,low_availability,LOGIT_MINIMAL,pooled,ALL,0,347,0.4581002050550538,0.515850144092219
development,low_availability,LOGIT_MINIMAL,pooled,ALL,1,347,0.5992171854331005,0.622478386167147
development,low_availability,LOGIT_MINIMAL,pooled,ALL,2,347,0.7292869371858738,0.7319884726224783
development,low_availability,LOGIT_MINIMAL,pooled,ALL,3,348,0.8252699134492644,0.8390804597701149
development,low_availability,LOGIT_MINIMAL,pooled,ALL,4,346,0.9011246538249265,0.9075144508670521
development,low_availability,LOGIT_MINIMAL,position,QB,0,48,0.43608177324774844,0.5416666666666666
development,low_availability,LOGIT_MINIMAL,position,QB,1,47,0.7043695015604936,0.7659574468085106
development,low_availability,LOGIT_MINIMAL,position,QB,2,47,0.8713114789351588,0.8723404255319149
development,low_availability,LOGIT_MINIMAL,position,QB,3,49,0.9187012500298182,0.9591836734693877
development,low_availability,LOGIT_MINIMAL,position,QB,4,46,0.9400797936050687,0.9782608695652174
development,low_availability,LOGIT_MINIMAL,position,RB,0,90,0.5086373406235277,0.5888888888888889
development,low_availability,LOGIT_MINIMAL,position,RB,1,89,0.6087685902200285,0.5730337078651685
development,low_availability,LOGIT_MINIMAL,position,RB,2,90,0.7084267888696731,0.7
development,low_availability,LOGIT_MINIMAL,position,RB,3,90,0.7868403694044266,0.7888888888888889
development,low_availability,LOGIT_MINIMAL,position,RB,4,89,0.8513709903267335,0.8651685393258427
development,low_availability,LOGIT_MINIMAL,position,WR,0,136,0.45562547430155814,0.45588235294117646
development,low_availability,LOGIT_MINIMAL,position,WR,1,131,0.5798749272167852,0.5877862595419847
development,low_availability,LOGIT_MINIMAL,position,WR,2,136,0.7203485720256059,0.7205882352941176
development,low_availability,LOGIT_MINIMAL,position,WR,3,131,0.8281313560388706,0.8091603053435115
development,low_availability,LOGIT_MINIMAL,position,WR,4,134,0.9007811958011801,0.8731343283582089
development,low_availability,LOGIT_MINIMAL,position,TE,0,77,0.43243029852874443,0.5454545454545454
development,low_availability,LOGIT_MINIMAL,position,TE,1,76,0.5840847170316122,0.7368421052631579
development,low_availability,LOGIT_MINIMAL,position,TE,2,76,0.7145832029477696,0.6973684210526315
development,low_availability,LOGIT_MINIMAL,position,TE,3,79,0.8065334513605732,0.7974683544303798
