split,scope,scope_value,model,predicted_range,n,mean_prediction,mean_actual,bias
development,pooled,ALL,PREV_RATE,<=8,866,4.062139145496536,2.9861431870669746,1.0759959584295613
development,pooled,ALL,PREV_RATE,8-11,250,9.8925,5.308,4.5845
development,pooled,ALL,PREV_RATE,11-14,276,12.995923913043478,6.271739130434782,6.724184782608695
development,pooled,ALL,PREV_RATE,>14,343,15.815415451895044,7.4723032069970845,8.34311224489796
development,pooled,ALL,RIDGE_MINIMAL,<=8,1630,4.667269353158749,4.531901840490797,0.1353675126679516
development,pooled,ALL,RIDGE_MINIMAL,8-11,105,8.186702486429452,7.809523809523809,0.37717867690564183
development,pooled,ALL,POISSON_MINIMAL,<=8,1591,4.537229958673089,4.469516027655563,0.06771393101752617
development,pooled,ALL,POISSON_MINIMAL,8-11,144,8.642004080450267,7.611111111111111,1.0308929693391553
development,pooled,ALL,RIDGE_FULL,<=8,1543,4.347154275524572,4.3849643551523005,-0.037810079627728685
development,pooled,ALL,RIDGE_FULL,8-11,182,8.931918819047734,7.538461538461538,1.393457280586196
development,pooled,ALL,RIDGE_FULL,11-14,8,11.867716051264507,6.25,5.617716051264507
development,pooled,ALL,RIDGE_FULL,>14,2,14.23208706684456,9.5,4.73208706684456
development,pooled,ALL,MULTINOMIAL_HURDLE,<=8,1583,4.497357354033317,4.426405559065066,0.0709517949682513
development,pooled,ALL,MULTINOMIAL_HURDLE,8-11,152,8.728192781067621,7.894736842105263,0.8334559389623583
development,position,QB,PREV_RATE,<=8,154,3.3591720779220777,2.4285714285714284,0.9306006493506493
development,position,QB,PREV_RATE,8-11,21,9.979166666666666,4.333333333333333,5.645833333333333
development,position,QB,PREV_RATE,11-14,21,13.142857142857142,7.476190476190476,5.666666666666667
development,position,QB,PREV_RATE,>14,41,15.916158536585366,7.073170731707317,8.84298780487805
development,position,QB,RIDGE_MINIMAL,<=8,217,4.046863434743224,3.543778801843318,0.5030846328999049
development,position,QB,RIDGE_MINIMAL,8-11,20,8.301908349469809,7.15,1.1519083494698112
development,position,QB,POISSON_MINIMAL,<=8,207,3.741981329732828,3.3043478260869565,0.43763350364587134
development,position,QB,POISSON_MINIMAL,8-11,30,8.94547390785043,7.6,1.3454739078504296
development,position,QB,RIDGE_FULL,<=8,212,3.8213659411947667,3.5235849056603774,0.29778103553438884
development,position,QB,RIDGE_FULL,8-11,25,8.84648667700885,6.6,2.24648667700885
development,position,QB,MULTINOMIAL_HURDLE,<=8,201,3.5403926456934793,3.1592039800995027,0.3811886655939772
development,position,QB,MULTINOMIAL_HURDLE,8-11,36,9.310970464428555,7.694444444444445,1.6165260199841092
development,position,RB,PREV_RATE,<=8,205,4.1673780487804875,3.1463414634146343,1.0210365853658536
development,position,RB,PREV_RATE,8-11,74,9.785472972972974,5.797297297297297,3.988175675675676
development,position,RB,PREV_RATE,11-14,73,13.031678082191782,6.876712328767123,6.154965753424658
development,position,RB,PREV_RATE,>14,96,15.797526041666666,6.40625,9.391276041666666
development,position,RB,RIDGE_MINIMAL,<=8,436,4.937456915873564,4.830275229357798,0.1071816865157652
development,position,RB,RIDGE_MINIMAL,8-11,12,8.045454025945936,7.083333333333333,0.9621206926126019
development,position,RB,POISSON_MINIMAL,<=8,421,4.803057379392354,4.764845605700713,0.03821177369164187
development,position,RB,POISSON_MINIMAL,8-11,27,8.39603142619603,6.851851851851852,1.5441795743441777
development,position,RB,RIDGE_FULL,<=8,400,4.467208346182232,4.545,-0.07779165381776838
development,position,RB,RIDGE_FULL,8-11,42,8.8100659442515,7.880952380952381,0.9291135632991179
development,position,RB,RIDGE_FULL,11-14,4,11.879024311533291,5.75,6.129024311533291
development,position,RB,RIDGE_FULL,>14,2,14.23208706684456,9.5,4.73208706684456
development,position,RB,MULTINOMIAL_HURDLE,<=8,427,4.868099290507527,4.76112412177986,0.10697516872766795
development,position,RB,MULTINOMIAL_HURDLE,8-11,21,8.119841724427117,7.523809523809524,0.5960322006175931
development,position,WR,PREV_RATE,<=8,305,4.260655737704918,2.9672131147540983,1.2934426229508196
development,position,WR,PREV_RATE,8-11,92,9.94633152173913,5.836956521739131,4.109375
development,position,WR,PREV_RATE,11-14,117,12.933760683760683,5.7094017094017095,7.2243589743589745
development,position,WR,PREV_RATE,>14,154,15.806006493506494,8.181818181818182,7.624188311688312
development,position,WR,RIDGE_MINIMAL,<=8,625,4.670041554255652,4.84,-0.1699584457443471
development,position,WR,RIDGE_MINIMAL,8-11,43,8.064873545999983,8.023255813953488,0.04161773204649417
development,position,WR,POISSON_MINIMAL,<=8,625,4.645616387933689,4.84,-0.19438361206631088
development,position,WR,POISSON_MINIMAL,8-11,43,8.45028723548751,8.023255813953488,0.4270314215340221
development,position,WR,RIDGE_FULL,<=8,580,4.252089381884921,4.639655172413793,-0.38756579052887186
development,position,WR,RIDGE_FULL,8-11,85,8.998508909243142,7.670588235294118,1.3279206739490246
development,position,WR,RIDGE_FULL,11-14,3,12.030217871576054,9.0,3.030217871576054
development,position,WR,MULTINOMIAL_HURDLE,<=8,613,4.557187101465941,4.761827079934747,-0.2046399784688052
development,position,WR,MULTINOMIAL_HURDLE,8-11,55,8.409258864700792,8.2,0.2092588647007937
development,position,TE,PREV_RATE,<=8,202,4.1915222772277225,3.277227722772277,0.9142945544554455
development,position,TE,PREV_RATE,8-11,63,9.910714285714286,4.285714285714286,5.625
development,position,TE,PREV_RATE,11-14,65,13.020192307692307,6.2153846153846155,6.804807692307692
development,position,TE,PREV_RATE,>14,52,15.796875,7.653846153846154,8.143028846153847
development,position,TE,RIDGE_MINIMAL,<=8,352,4.710149129485298,4.224431818181818,0.4857173113034804
development,position,TE,RIDGE_MINIMAL,8-11,30,8.341019443211525,8.233333333333333,0.10768610987818998
development,position,TE,POISSON_MINIMAL,<=8,338,4.492737662164059,4.1301775147929,0.36256014737115955
development,position,TE,POISSON_MINIMAL,8-11,44,8.77339024354704,7.681818181818182,1.091572061728857
development,position,TE,RIDGE_FULL,<=8,351,4.684997970470021,4.301994301994302,0.3830036684757187
development,position,TE,RIDGE_FULL,8-11,30,8.985034373241213,7.466666666666667,1.5183677065745462
development,position,TE,RIDGE_FULL,11-14,1,11.334977549254736,0.0,11.334977549254736
development,position,TE,MULTINOMIAL_HURDLE,<=8,342,4.489659881301216,4.152046783625731,0.3376130976754847
development,position,TE,MULTINOMIAL_HURDLE,8-11,40,8.961611305783435,7.85,1.1116113057834354
confirmation,pooled,ALL,PREV_RATE,<=8,911,3.8825466520307352,2.695938529088913,1.1866081229418222
confirmation,pooled,ALL,PREV_RATE,8-11,223,10.062780269058296,5.663677130044843,4.3991031390134525
confirmation,pooled,ALL,PREV_RATE,11-14,275,12.989090909090908,6.723636363636364,6.265454545454546
confirmation,pooled,ALL,PREV_RATE,>14,364,16.13736263736264,8.137362637362637,8.0
confirmation,pooled,ALL,RIDGE_MINIMAL,<=8,1603,4.496128690958075,4.361821584529008,0.13430710642906735
