split,scope,scope_value,model,n,mae,rmse,bias,spearman
development,pooled,ALL,PREV_RATE,1735,5.804755043227666,7.4346359184019954,3.91671469740634,0.29958828630107504
development,position,QB,PREV_RATE,237,4.759229957805907,6.551487645907041,3.136867088607595,0.28421886672574126
development,position,RB,PREV_RATE,448,6.251534598214286,7.870759890783769,4.141322544642857,0.23221168533408415
development,position,WR,PREV_RATE,668,5.94376871257485,7.616229571848056,4.179547155688622,0.33755928761241033
development,position,TE,PREV_RATE,382,5.686354712041885,7.094319017356506,3.6775196335078535,0.3088026495054921
development,season,2018,PREV_RATE,419,5.778042959427208,7.435482242691744,4.293556085918855,0.3292821421646066
development,season,2019,PREV_RATE,444,5.849099099099099,7.417868614014053,3.885135135135135,0.3276230343993762
development,season,2020,PREV_RATE,437,5.7345537757437075,7.407399355873241,3.606407322654462,0.2727041743676041
development,season,2021,PREV_RATE,435,5.855747126436782,7.478100210522769,3.8977011494252873,0.27467959871507575
development,pooled,ALL,PREV_GAMES,1735,5.7360230547550435,7.337323165786899,3.790201729106628,0.29898404680878915
development,position,QB,PREV_GAMES,237,4.69198312236287,6.4605260331084935,3.029535864978903,0.2856978027226528
development,position,RB,PREV_GAMES,448,6.185267857142857,7.768554976864837,4.006696428571429,0.23361174737532991
development,position,WR,PREV_GAMES,668,5.869760479041916,7.515751921538376,4.046407185628743,0.33507319721183476
development,position,TE,PREV_GAMES,382,5.62303664921466,7.004859943441063,3.56020942408377,0.30837630067849847
development,season,2018,PREV_GAMES,419,5.778042959427208,7.435482242691744,4.293556085918855,0.3292821421646066
development,season,2019,PREV_GAMES,444,5.849099099099099,7.417868614014053,3.885135135135135,0.3276230343993762
development,season,2020,PREV_GAMES,437,5.7345537757437075,7.407399355873241,3.606407322654462,0.2727041743676041
development,season,2021,PREV_GAMES,435,5.581609195402299,7.084384641387453,3.393103448275862,0.27467959871507575
development,pooled,ALL,POSITION_MEAN,1735,5.131243800251634,5.763773649748521,0.31182204930604474,0.01356708079396093
development,position,QB,POSITION_MEAN,237,4.297559233826077,5.164956429963774,0.6600947643552174,-0.09014309064067826
development,position,RB,POSITION_MEAN,448,5.315776803973153,5.896294612201456,0.3023844091669487,-0.014677019292349134
development,position,WR,POSITION_MEAN,668,5.385174574073612,5.9858901148394255,0.06783221787779133,-0.014980371538049899
development,position,TE,POSITION_MEAN,382,4.988015265336803,5.559262729778527,0.533478166347234,-0.0068144146154821
development,season,2018,POSITION_MEAN,419,5.05796001097062,5.657544454156191,0.48157138964597196,0.020570404063447567
development,season,2019,POSITION_MEAN,444,5.291106210064529,5.854063373143889,0.4823786543848151,0.03953526461398182
development,season,2020,POSITION_MEAN,437,5.183458290429935,5.822753254360724,-0.00533887703657644,0.00597615790348847
development,season,2021,POSITION_MEAN,435,4.986207629088188,5.71249096080477,0.2928501379366696,0.03406725337836295
development,pooled,ALL,RIDGE_MINIMAL,1735,4.660829758589801,5.423353658843737,0.15000161770827297,0.30351761893209
development,position,QB,RIDGE_MINIMAL,237,3.8318256482383366,4.683104038852444,0.5578376891505301,0.28999557054794367
development,position,RB,RIDGE_MINIMAL,448,4.969842754287543,5.65056704636873,0.13008183846478769,0.25430022591465123
development,position,WR,RIDGE_MINIMAL,668,4.817654563946434,5.604118604536179,-0.15633902112607442,0.3276781185554402
development,position,TE,RIDGE_MINIMAL,382,4.538518716973252,5.255247798405313,0.4560289970554209,0.3056806513102585
development,season,2018,RIDGE_MINIMAL,419,4.580382866748525,5.2554725078170605,0.47713022859166365,0.33642215735386566
development,season,2019,RIDGE_MINIMAL,444,4.761348292898274,5.517887217110821,0.28901184181511863,0.33068924941884076
development,season,2020,RIDGE_MINIMAL,437,4.76740066987718,5.526959449598906,-0.1365714118673345,0.27803914304226507
development,season,2021,RIDGE_MINIMAL,435,4.528658563683938,5.379976894388473,-0.01909036743894484,0.28225644727071164
development,pooled,ALL,POISSON_MINIMAL,1735,4.672957906172999,5.432317826702669,0.14765501546612245,0.30279101674916337
development,position,QB,POISSON_MINIMAL,237,3.8226271041494435,4.703817279126303,0.5525500105072078,0.2878589737415675
development,position,RB,POISSON_MINIMAL,448,4.987655824523095,5.671129861337194,0.12897322596311156,0.25338345159592107
development,position,WR,POISSON_MINIMAL,668,4.838485238170652,5.60044136171177,-0.1543823449333554,0.3313673116079844
development,position,TE,POISSON_MINIMAL,382,4.541993180739252,5.266687739964197,0.4465301060929887,0.306697945918689
development,season,2018,POISSON_MINIMAL,419,4.550431561112712,5.2363215023052,0.4809700264648861,0.33653776114355594
development,season,2019,POISSON_MINIMAL,444,4.790113379909698,5.540305329194712,0.28939765615845603,0.33094886500739396
development,season,2020,POISSON_MINIMAL,437,4.809094553685777,5.5599904569348535,-0.14368744383063248,0.27481337319766347
development,season,2021,POISSON_MINIMAL,435,4.53463559186974,5.376326750575523,-0.025393415253868613,0.28270107267596667
development,pooled,ALL,RIDGE_FULL,1735,4.633222281026594,5.478813609626288,0.1439044234840965,0.29595529712387125
development,position,QB,RIDGE_FULL,237,3.8250559482740574,4.669663928056114,0.5033407023565893,0.3007202049843907
development,position,RB,RIDGE_FULL,448,4.886884072556261,5.697671126457209,0.09349638283767388,0.25481025192984663
development,position,WR,RIDGE_FULL,668,4.803162751984222,5.705605408867708,-0.1539285143807642,0.30821568506399444
development,position,TE,RIDGE_FULL,382,4.539962342956865,5.273306633043898,0.5008384722027969,0.29966226202152396
