split,scope,scope_value,model,n,coverage80,mean_width
development,pooled,ALL,RIDGE_MINIMAL,1735,0.8011527377521613,12.824052446392285
development,pooled,ALL,POISSON_MINIMAL,1735,0.7948126801152737,12.48707511510864
development,pooled,ALL,RIDGE_FULL,1735,0.7792507204610951,12.229108239972106
development,pooled,ALL,MULTINOMIAL_HURDLE,1735,0.7942363112391931,12.483403302487282
development,position,QB,RIDGE_MINIMAL,237,0.810126582278481,11.745658148005258
development,position,QB,POISSON_MINIMAL,237,0.7974683544303798,10.815214253417757
development,position,QB,RIDGE_FULL,237,0.8016877637130801,11.057870178439483
development,position,QB,MULTINOMIAL_HURDLE,237,0.7890295358649789,10.360693259175171
development,position,RB,RIDGE_MINIMAL,448,0.796875,13.26070759996297
development,position,RB,POISSON_MINIMAL,448,0.7834821428571429,13.083818639381702
development,position,RB,RIDGE_FULL,448,0.7700892857142857,12.584233622663993
development,position,RB,MULTINOMIAL_HURDLE,448,0.7924107142857143,13.19244508592133
development,position,WR,RIDGE_MINIMAL,668,0.8008982035928144,13.140125203209239
development,position,WR,POISSON_MINIMAL,668,0.7979041916167665,12.966856627976199
development,position,WR,RIDGE_FULL,668,0.7754491017964071,12.416708959004788
development,position,WR,MULTINOMIAL_HURDLE,668,0.7964071856287425,13.065029753948178
development,position,TE,RIDGE_MINIMAL,382,0.8010471204188482,12.428296787660166
development,position,TE,POISSON_MINIMAL,382,0.8010471204188482,11.985493635398893
development,position,TE,RIDGE_FULL,382,0.7827225130890052,12.211228577206228
development,position,TE,MULTINOMIAL_HURDLE,382,0.7958115183246073,11.951741238902573
confirmation,pooled,ALL,RIDGE_MINIMAL,1773,0.7856739988719684,12.832276775760635
confirmation,pooled,ALL,POISSON_MINIMAL,1773,0.7952622673434856,12.685276078892091
confirmation,pooled,ALL,RIDGE_FULL,1773,0.8003384094754653,12.3908658123892
confirmation,pooled,ALL,MULTINOMIAL_HURDLE,1773,0.7907501410039481,12.613800341205348
confirmation,position,QB,RIDGE_MINIMAL,258,0.810077519379845,11.34392738791112
confirmation,position,QB,POISSON_MINIMAL,258,0.8178294573643411,11.013292178183482
confirmation,position,QB,RIDGE_FULL,258,0.8217054263565892,11.03767824444259
confirmation,position,QB,MULTINOMIAL_HURDLE,258,0.8023255813953488,10.595293999325063
confirmation,position,RB,RIDGE_MINIMAL,452,0.7831858407079646,13.22905495291771
confirmation,position,RB,POISSON_MINIMAL,452,0.7853982300884956,13.209659347622775
confirmation,position,RB,RIDGE_FULL,452,0.8185840707964602,12.750347798169928
confirmation,position,RB,MULTINOMIAL_HURDLE,452,0.7787610619469026,13.226970628188186
confirmation,position,WR,RIDGE_MINIMAL,683,0.7994143484626647,13.27433016904387
confirmation,position,WR,POISSON_MINIMAL,683,0.8155197657393851,13.219599751097915
confirmation,position,WR,RIDGE_FULL,683,0.8038067349926794,12.680056854655462
confirmation,position,WR,MULTINOMIAL_HURDLE,683,0.8096632503660323,13.163682399652673
confirmation,position,TE,RIDGE_MINIMAL,380,0.7473684210526316,12.57629766622833
confirmation,position,TE,POISSON_MINIMAL,380,0.7552631578947369,12.236348554681493
confirmation,position,TE,RIDGE_FULL,380,0.7578947368421053,12.362231741572034
confirmation,position,TE,MULTINOMIAL_HURDLE,380,0.7631578947368421,12.266569342703628
all,pooled,ALL,RIDGE_MINIMAL,3508,0.7933295324971493,12.828209155619788
all,pooled,ALL,POISSON_MINIMAL,3508,0.7950399087799316,12.587249091388017
all,pooled,ALL,RIDGE_FULL,3508,0.7899087799315849,12.31086313617949
all,pooled,ALL,MULTINOMIAL_HURDLE,3508,0.7924743443557583,12.549308077187149
all,position,QB,RIDGE_MINIMAL,495,0.8101010101010101,11.536271206380436
all,position,QB,POISSON_MINIMAL,495,0.8080808080808081,10.918454868750194
all,position,QB,RIDGE_FULL,495,0.8121212121212121,11.047345897689585
all,position,QB,MULTINOMIAL_HURDLE,495,0.795959595959596,10.48297000858663
all,position,RB,RIDGE_MINIMAL,900,0.79,13.244810937224683
all,position,RB,POISSON_MINIMAL,900,0.7844444444444445,13.147018639520553
all,position,RB,RIDGE_FULL,900,0.7944444444444444,12.667659853029198
all,position,RB,MULTINOMIAL_HURDLE,900,0.7855555555555556,13.209784580482019
all,position,WR,RIDGE_MINIMAL,1351,0.8001480384900074,13.20797271739507
all,position,WR,POISSON_MINIMAL,1351,0.8068097705403405,13.094631278673555
all,position,WR,RIDGE_FULL,1351,0.7897853441894893,12.549844867760829
all,position,WR,MULTINOMIAL_HURDLE,1351,0.8031088082901554,13.114903741376875
all,position,TE,RIDGE_MINIMAL,762,0.7742782152230971,12.502103000069486
all,position,TE,POISSON_MINIMAL,762,0.7782152230971129,12.110591889109378
all,position,TE,RIDGE_FULL,762,0.7703412073490814,12.286531992506761
all,position,TE,MULTINOMIAL_HURDLE,762,0.7795275590551181,12.108742130561893
