split,tier,position,n,zero_game_fraction,mean_target_games,PREV_RATE_mae,POSITION_MEAN_mae,RIDGE_FULL_mae,ridge_lift_vs_prev_rate,ridge_lift_vs_position_mean
development,Q1,ALL,439,0.5603644646924829,2.924829157175399,4.018223234624146,4.443796659176379,3.317596851364364,0.1743622348361929,0.2534318948834952
development,Q2,ALL,433,0.5219399538106235,3.4226327944572748,5.467378752886836,4.513071806598936,3.9357649722409453,0.28013676203375915,0.12791882316471515
development,Q3,ALL,426,0.42488262910798125,5.187793427230047,6.805457746478873,5.209713982060531,5.157958937452845,0.24208493688443514,0.009934335125863555
development,Q4,ALL,437,0.35469107551487417,7.393592677345538,6.9582379862700225,6.357855861425693,6.134413957658907,0.11839549469803747,0.03514422293252197
confirmation,Q1,ALL,449,0.6080178173719376,2.2516703786191536,3.6325167037861914,4.385976195075202,2.8983428067518036,0.20211163689052125,0.3391795400061197
confirmation,Q2,ALL,440,0.48863636363636365,3.602272727272727,5.3954545454545455,4.446843127776566,3.9076796571967747,0.2757459776046416,0.12124634377407738
confirmation,Q3,ALL,436,0.4059633027522936,5.454128440366972,6.43348623853211,5.253653001052846,5.010292897944711,0.22121650498969905,0.046322074004385996
confirmation,Q4,ALL,448,0.34375,7.9375,6.542410714285714,6.736436366665596,6.1091798433407405,0.0662188434607125,0.09311399814132515
confirmation,Q4,QB,66,0.2727272727272727,6.090909090909091,6.787878787878788,5.067402596220015,4.973038834740311,0.2673648145248649,0.01862172181663512
confirmation,Q4,RB,114,0.3684210526315789,7.9035087719298245,6.5701754385964914,6.873348726219659,6.053721164220423,0.07860585751518259,0.11924719589340993
confirmation,Q4,WR,172,0.3430232558139535,8.494186046511627,6.488372093023256,7.121857074066056,6.484072268783512,0.0006626969258386226,0.08955315989210319
confirmation,Q4,TE,96,0.3645833333333333,8.25,6.4375,7.030768222783997,6.28445170595728,0.02377449227848078,0.1061500668459236
