split,method,predicted_quartile,n,mean_prediction,mean_actual,bias
development,INDEPENDENT_PRODUCT,1,434,4.90920767332,7.13576036866,-2.22655269534
development,INDEPENDENT_PRODUCT,2,434,14.0011697359,15.8728571429,-1.87168740696
development,INDEPENDENT_PRODUCT,3,433,32.406457471,36.2742725173,-3.86781504637
development,INDEPENDENT_PRODUCT,4,434,85.4895887271,85.2450691244,0.24451960271
development,PAIRED_RESIDUAL_MEAN,1,434,11.7672965482,8.25419354839,3.51310299981
development,PAIRED_RESIDUAL_MEAN,2,434,20.7975331846,15.0367281106,5.760805074
development,PAIRED_RESIDUAL_MEAN,3,433,37.6821143449,34.5649884527,3.11712589222
development,PAIRED_RESIDUAL_MEAN,4,434,86.9179842206,86.6681105991,0.249873621518
development,WR033_X_PREV_RATE,1,434,5.50274020876,8.28912442396,-2.7863842152
development,WR033_X_PREV_RATE,2,434,22.6101074489,16.3640552995,6.24605214931
development,WR033_X_PREV_RATE,3,433,59.4649610975,36.3486836028,23.1162774947
development,WR033_X_PREV_RATE,4,434,152.188660007,83.5262672811,68.6623927261
development,PRIOR_TOTAL_SCHEDULE_ADJUSTED,1,434,1.80788306452,8.13728110599,-6.32939804147
development,PRIOR_TOTAL_SCHEDULE_ADJUSTED,2,434,16.8246601382,16.7029493088,0.121710829493
development,PRIOR_TOTAL_SCHEDULE_ADJUSTED,3,433,61.0287240185,34.8498383372,26.1788856813
development,PRIOR_TOTAL_SCHEDULE_ADJUSTED,4,434,179.894717742,84.8346082949,95.060109447
development,POSITION_MEAN_TOTAL,1,434,28.9573808811,25.3444700461,3.61291083499
development,POSITION_MEAN_TOTAL,2,434,40.7167182083,36.5986175115,4.11810069674
development,POSITION_MEAN_TOTAL,3,433,40.9008179553,38.1297921478,2.77102580747
development,POSITION_MEAN_TOTAL,4,434,51.0135754129,44.4593548387,6.55422057416
confirmation,INDEPENDENT_PRODUCT,1,444,3.21959660638,3.47472972973,-0.255133123349
confirmation,INDEPENDENT_PRODUCT,2,443,11.9408148424,11.7555756208,0.185239221638
confirmation,INDEPENDENT_PRODUCT,3,443,29.9180991259,31.3635665914,-1.4454674655
confirmation,INDEPENDENT_PRODUCT,4,443,80.5936910535,86.9967494357,-6.40305838216
confirmation,PAIRED_RESIDUAL_MEAN,1,444,9.70545551044,3.94824324324,5.7572122672
confirmation,PAIRED_RESIDUAL_MEAN,2,443,17.7909863108,12.0595936795,5.73139263133
confirmation,PAIRED_RESIDUAL_MEAN,3,443,34.4474665446,30.0245598194,4.42290672516
confirmation,PAIRED_RESIDUAL_MEAN,4,443,82.2167640356,87.5571557562,-5.34039172064
confirmation,WR033_X_PREV_RATE,1,444,3.69262749055,5.74009009009,-2.04746259954
confirmation,WR033_X_PREV_RATE,2,443,18.9261157632,11.4468171558,7.47929860743
confirmation,WR033_X_PREV_RATE,3,443,55.8624084257,30.9879458239,24.8744626018
confirmation,WR033_X_PREV_RATE,4,443,147.275383267,85.4106546275,61.8647286395
confirmation,PRIOR_TOTAL_SCHEDULE_ADJUSTED,1,444,1.3368018018,5.23522522523,-3.89842342342
confirmation,PRIOR_TOTAL_SCHEDULE_ADJUSTED,2,443,13.9091647856,11.7637923251,2.1453724605
confirmation,PRIOR_TOTAL_SCHEDULE_ADJUSTED,3,443,54.1069074492,30.0261851016,24.0807223476
confirmation,PRIOR_TOTAL_SCHEDULE_ADJUSTED,4,443,168.040316027,86.5614446953,81.4788713318
confirmation,POSITION_MEAN_TOTAL,1,444,27.0182430965,26.3413063063,0.676936790178
confirmation,POSITION_MEAN_TOTAL,2,443,37.5901518413,38.3882167043,-0.798064862957
confirmation,POSITION_MEAN_TOTAL,3,443,38.5179981893,30.5250112867,7.99298690264
confirmation,POSITION_MEAN_TOTAL,4,443,47.4237889295,38.284469526,9.13931940352
