split,scope,scope_value,method,n,mae,rmse,bias,spearman,rank_mae,top_n_overlap,catastrophic_over_rate,catastrophic_under_rate
development,pooled,ALL,INDEPENDENT_PRODUCT,1735,36.6603595059,56.6110232678,-1.92926721147,0.369311089886,30.7734870317,0.485243055556,0.0311239193084,0.0674351585014
development,pooled,ALL,PAIRED_RESIDUAL_MEAN,1735,39.1110216081,56.5631945827,3.16025173897,0.363592052886,30.7158501441,0.493055555556,0.0299711815562,0.0662824207493
development,pooled,ALL,WR033_X_PREV_RATE,1735,45.8735210186,68.6207799655,23.8099841393,0.371558382993,30.269740634,0.506944444444,0.106051873199,0.0305475504323
development,pooled,ALL,PRIOR_TOTAL_SCHEDULE_ADJUSTED,1735,48.2542442363,77.1736080763,28.7593134006,0.369034825618,29.8224783862,0.525173611111,0.129106628242,0.0230547550432
development,pooled,ALL,POSITION_MEAN_TOTAL,1735,48.5513923241,65.0362849225,4.26492501936,0.0320202865261,36.1452449568,0.200520833333,0,0.0985590778098
development,position,QB,INDEPENDENT_PRODUCT,237,49.4295831512,73.1109584431,0.486896970691,0.370861108334,15.029535865,0.5,0.0801687763713,0.101265822785
development,position,QB,PAIRED_RESIDUAL_MEAN,237,53.7668948088,73.8909641732,8.55142959837,0.36605585336,14.9620253165,0.5,0.0801687763713,0.101265822785
development,position,QB,WR033_X_PREV_RATE,237,58.6413703238,91.7547114469,32.6315559783,0.35020395513,15.4514767932,0.541666666667,0.168776371308,0.0506329113924
development,position,QB,PRIOR_TOTAL_SCHEDULE_ADJUSTED,237,64.294335443,105.216705328,41.9951793249,0.347245332539,15.4852320675,0.5625,0.194092827004,0.0337552742616
development,position,QB,POSITION_MEAN_TOTAL,237,69.6004228088,86.3146518569,10.9397916358,-0.100290168052,15.6708860759,0.229166666667,0,0.151898734177
development,position,RB,INDEPENDENT_PRODUCT,448,37.9707389655,57.6311780091,-0.929670186499,0.346615317492,29.5044642857,0.489583333333,0.0245535714286,0.0691964285714
development,position,RB,PAIRED_RESIDUAL_MEAN,448,39.9545550727,57.4454469211,2.78210629555,0.344456571289,29.3660714286,0.5,0.0223214285714,0.0758928571429
development,position,RB,WR033_X_PREV_RATE,448,50.5652174963,72.5236781183,26.8374702535,0.325745038132,29.6607142857,0.458333333333,0.136160714286,0.0357142857143
development,position,RB,PRIOR_TOTAL_SCHEDULE_ADJUSTED,448,53.0464620536,79.7985625989,30.8312220982,0.32836774515,29.4553571429,0.489583333333,0.160714285714,0.0334821428571
development,position,RB,POSITION_MEAN_TOTAL,448,49.7613157956,65.2838986697,4.39128498118,-0.0298927699892,35.2008928571,0.197916666667,0,0.0959821428571
development,position,TE,INDEPENDENT_PRODUCT,382,24.8568046032,38.6559904555,0.726164819438,0.344362803516,23.6282722513,0.416666666667,0.00523560209424,0.0261780104712
development,position,TE,PAIRED_RESIDUAL_MEAN,382,26.3060876355,38.6791024703,3.69452103635,0.341875254641,23.7068062827,0.416666666667,0.00523560209424,0.0235602094241
development,position,TE,WR033_X_PREV_RATE,382,32.4678615508,47.8910021553,17.2019085043,0.357363700835,22.9842931937,0.458333333333,0.0497382198953,0.0104712041885
development,position,TE,PRIOR_TOTAL_SCHEDULE_ADJUSTED,382,32.5910176702,52.5178610241,18.4457624346,0.354031160587,23.1570680628,0.458333333333,0.0628272251309,0.00785340314136
development,position,TE,POSITION_MEAN_TOTAL,382,31.2887560123,43.2332161743,4.49446514892,0.0184055975489,28.3664921466,0.125,0,0.0471204188482
development,position,WR,INDEPENDENT_PRODUCT,668,38.0010810193,57.8396425885,-4.97541304106,0.395421432674,41.2964071856,0.534722222222,0.0329341317365,0.0778443113772
development,position,WR,PAIRED_RESIDUAL_MEAN,668,40.6681171721,57.4803973793,1.19559475449,0.398273379468,41.2185628743,0.555555555556,0.0314371257485,0.0718562874251
development,position,WR,WR033_X_PREV_RATE,668,45.8631940866,66.3644039475,22.4286347196,0.415419605643,40.1017964072,0.569444444444,0.0958083832335,0.0314371257485
development,position,WR,PRIOR_TOTAL_SCHEDULE_ADJUSTED,668,48.3065456587,75.4542025837,28.5716803892,0.410705878942,38.9670658683,0.590277777778,0.122754491018,0.0209580838323
development,position,WR,POSITION_MEAN_TOTAL,668,50.1436994063,66.4484926658,1.68073792284,0.0144370177623,48.4910179641,0.25,0,0.110778443114
development,season,2018,INDEPENDENT_PRODUCT,419,36.9264984819,56.5154585114,-1.94466149399,0.373258818642,28.2482100239,0.541666666667,0.0214797136038,0.0692124105012
development,season,2018,PAIRED_RESIDUAL_MEAN,419,39.601336969,56.5322702328,3.84989091242,0.363574421751,28.2625298329,0.559027777778,0.0190930787589,0.0644391408115
development,season,2018,WR033_X_PREV_RATE,419,45.7196582469,67.5770817377,24.6412395808,0.374842938648,28.1670644391,0.548611111111,0.105011933174,0.0310262529833
development,season,2018,PRIOR_TOTAL_SCHEDULE_ADJUSTED,419,47.9760859189,74.8034773929,26.8425298329,0.367943911643,28.0381861575,0.534722222222,0.114558472554,0.0262529832936
development,season,2018,POSITION_MEAN_TOTAL,419,49.7198873332,64.34114648,5.31160597483,-0.00773289139254,32.6539379475,0.256944444444,0,0.0930787589499
development,season,2019,INDEPENDENT_PRODUCT,444,38.6887234553,60.7298844221,-3.40993067819,0.381129840943,31.4279279279,0.46875,0.0292792792793,0.0788288288288
development,season,2019,PAIRED_RESIDUAL_MEAN,444,41.3599939408,60.7648100091,1.81145546002,0.379096385803,31.2567567568,0.475694444444,0.027027027027,0.0810810810811
development,season,2019,WR033_X_PREV_RATE,444,47.1657759124,70.8251194272,20.9441933545,0.384154713171,30.527027027,0.447916666667,0.112612612613,0.0405405405405
development,season,2019,PRIOR_TOTAL_SCHEDULE_ADJUSTED,444,49.180990991,78.7450940557,27.6806306306,0.383652212489,29.8288288288,0.5,0.144144144144,0.027027027027
development,season,2019,POSITION_MEAN_TOTAL,444,50.6513200957,69.5669764578,2.84188180099,0.00938585281745,39.3108108108,0.142361111111,0,0.108108108108
development,season,2020,INDEPENDENT_PRODUCT,437,38.1479315862,57.9836744257,-3.50224257476,0.382237601557,31.9176201373,0.479166666667,0.0411899313501,0.070938215103
