split,scope,scope_value,method,n,coverage80,mean_width80,interval_score80,mean_crps,below_p10_rate,above_p90_rate,rank_coverage80,mean_rank_width80
development,pooled,ALL,PAIRED_RESIDUAL_DRAWS,1735,0.805763688761,98.9275811677,155.408922824,24.6611795269,0.099711815562,0.0945244956772,0.349855907781,29.3492795389
development,pooled,ALL,INDEPENDENT_RESIDUAL_DRAWS,1735,0.751008645533,77.2076279006,160.966799334,24.9243322068,0.104322766571,0.144668587896,0.342939481268,28.9994236311
development,position,QB,PAIRED_RESIDUAL_DRAWS,237,0.776371308017,146.653361593,198.991977072,33.0147675739,0.151898734177,0.0717299578059,0.367088607595,12.417721519
development,position,QB,INDEPENDENT_RESIDUAL_DRAWS,237,0.729957805907,111.44087661,203.223856381,33.1731780642,0.147679324895,0.122362869198,0.371308016878,12.4219409283
development,position,RB,PAIRED_RESIDUAL_DRAWS,448,0.801339285714,96.034906155,163.064672567,25.3576908245,0.0982142857143,0.100446428571,0.316964285714,25.8683035714
development,position,RB,INDEPENDENT_RESIDUAL_DRAWS,448,0.752232142857,80.0796902036,167.177586889,25.6038460303,0.109375,0.138392857143,0.308035714286,24.4508928571
development,position,TE,PAIRED_RESIDUAL_DRAWS,382,0.82722513089,67.2362970272,105.924616164,16.3510120222,0.0890052356021,0.0837696335079,0.348167539267,22.167539267
development,position,TE,INDEPENDENT_RESIDUAL_DRAWS,382,0.769633507853,52.6337561103,107.800068777,16.5593255981,0.102094240838,0.128272251309,0.337696335079,21.3403141361
development,position,WR,PAIRED_RESIDUAL_DRAWS,668,0.806886227545,102.057789231,163.109589593,25.98250671,0.0883233532934,0.104790419162,0.366766467066,41.7979041916
development,position,WR,INDEPENDENT_RESIDUAL_DRAWS,668,0.747005988024,77.1885488106,172.212810902,26.3255805053,0.0868263473054,0.166167664671,0.359281437126,42.3113772455
development,season,2018,PAIRED_RESIDUAL_DRAWS,419,0.816229116945,101.003418679,156.121359929,24.8594018401,0.0978520286396,0.0859188544153,0.336515513126,26.522673031
development,season,2018,INDEPENDENT_RESIDUAL_DRAWS,419,0.756563245823,78.1989111776,160.749045561,25.0453489864,0.105011933174,0.138424821002,0.334128878282,25.8329355609
development,season,2019,PAIRED_RESIDUAL_DRAWS,444,0.792792792793,97.8454412434,170.143828423,26.1690404526,0.101351351351,0.105855855856,0.369369369369,30.7635135135
development,season,2019,INDEPENDENT_RESIDUAL_DRAWS,444,0.740990990991,75.1080028915,179.079964522,26.6301363946,0.103603603604,0.155405405405,0.36036036036,30.4887387387
development,season,2020,PAIRED_RESIDUAL_DRAWS,437,0.794050343249,100.995012688,162.200803655,25.9576442604,0.102974828375,0.102974828375,0.336384439359,30.0068649886
development,season,2020,INDEPENDENT_RESIDUAL_DRAWS,437,0.736842105263,78.1847366821,169.209997087,26.266252854,0.112128146453,0.151029748284,0.329519450801,29.4553775744
development,season,2021,PAIRED_RESIDUAL_DRAWS,435,0.820689655172,95.955688374,132.859816717,21.62876461,0.0965517241379,0.0827586206897,0.35632183908,29.967816092
development,season,2021,INDEPENDENT_RESIDUAL_DRAWS,435,0.770114942529,77.4142699084,134.407525929,21.7185795337,0.0965517241379,0.133333333333,0.347126436782,30.0712643678
development,value_tier,Q4,PAIRED_RESIDUAL_DRAWS,439,0.567198177677,166.282462264,294.327016546,51.3634525947,0.271070615034,0.161731207289,0.138952164009,15.159453303
development,value_tier,Q4,INDEPENDENT_RESIDUAL_DRAWS,439,0.487471526196,141.457054788,320.082163002,52.0076117966,0.280182232346,0.232346241458,0.143507972665,15.2346241458
development,value_tier,D10,PAIRED_RESIDUAL_DRAWS,181,0.46408839779,186.837323885,378.542526308,66.2104482784,0.331491712707,0.204419889503,0.121546961326,10.817679558
development,value_tier,D10,INDEPENDENT_RESIDUAL_DRAWS,181,0.342541436464,160.896026929,422.040492065,67.166670477,0.342541436464,0.314917127072,0.127071823204,11.1436464088
development,value_tier,WR_Q4,PAIRED_RESIDUAL_DRAWS,168,0.553571428571,173.691555302,319.846301946,56.3200834555,0.244047619048,0.202380952381,0.154761904762,20.7380952381
development,value_tier,WR_Q4,INDEPENDENT_RESIDUAL_DRAWS,168,0.452380952381,145.568475965,357.785898112,57.1563988869,0.25,0.297619047619,0.160714285714,21.9285714286
